date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:20:19	114/114	---M-Z	200	added ('OK')	text/plain	date:Sun,%2027%20Aug%202023%2010:50:17%20GMT	https://wpriverthemes.com/robots.txt		(from )
16:20:19	50338/50338	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Aug%202023%2010:50:17%20GMT	https://wpriverthemes.com/gridx/	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/index.html	(from )
16:20:20	97517/97517	---M-Z	200	added ('OK')	text/css	etag:%2217ced-6466315d-8b255597af83c0a5;gz%22	https://wpriverthemes.com/gridx/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-includes/css/dist/block-library/style.min3781.css	(from https://wpriverthemes.com/gridx/)
16:20:20	9686/9686	---MCZ	200	added ('OK')	application/rss+xml	etag:%223407d9024d3ec498808a3ab2b7419e95%22	https://wpriverthemes.com/gridx/feed/	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/feed/index.html	(from https://wpriverthemes.com/gridx/)
16:20:20	774/774	---M-Z	200	added ('OK')	application/rss+xml	etag:%223407d9024d3ec498808a3ab2b7419e95%22	https://wpriverthemes.com/gridx/comments/feed/	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/comments/feed/index.html	(from https://wpriverthemes.com/gridx/)
16:20:21	291/291	---M--	200	added ('OK')	text/css	etag:%22123-6466315d-e07fc3c5404480a;;;%22	https://wpriverthemes.com/gridx/wp-includes/css/classic-themes.min.css?ver=6.2.2	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-includes/css/classic-themes.min3781.css	(from https://wpriverthemes.com/gridx/)
16:20:21	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%22b2b-647790d7-40257b0aeb8f17ca;gz%22	https://wpriverthemes.com/gridx/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.7	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-content/plugins/contact-form-7/includes/css/stylesf2b4.css	(from https://wpriverthemes.com/gridx/)
16:20:21	53435/53435	---M-Z	200	added ('OK')	text/css	etag:%22d0bb-64a8db15-2a55f2e55f67e643;gz%22	https://wpriverthemes.com/gridx/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities.css?ver=4.4.4	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilitiesd22c.css	(from https://wpriverthemes.com/gridx/)
16:20:22	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-6481e1f5-ca28370dfd129af6;gz%22	https://wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/aos.css?ver=6.2.2	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/aos3781.css	(from https://wpriverthemes.com/gridx/)
16:20:23	155800/155800	---M-Z	200	added ('OK')	text/css	etag:%2226098-6481e1f5-34dbe3cdae07c60c;gz%22	https://wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/bootstrap.min.css?ver=6.2.2	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/bootstrap.min3781.css	(from https://wpriverthemes.com/gridx/)
16:20:29	2080044/2080044	---MCZ	200	added ('OK')	text/css	etag:%221fbd2c-6481e1f5-63a4dbede4f27ad4;gz%22	https://wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/iconoir.css?ver=6.2.2	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/iconoir3781.css	(from https://wpriverthemes.com/gridx/)
16:20:30	47138/47138	---M-Z	200	added ('OK')	text/css	etag:%22b822-6481e1f5-4ec998a12c59518b;gz%22	https://wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/style.css?ver=6.2.2	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/style3781.css	(from https://wpriverthemes.com/gridx/)
16:20:30	43135/43135	---M-Z	200	added ('OK')	text/css	etag:%22a87f-6481e1f5-366345339c3da0b3;gz%22	https://wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/gridx-unit-test.css?ver=6.2.2	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-content/themes/gridx/assets/css/gridx-unit-test3781.css	(from https://wpriverthemes.com/gridx/)
16:20:31	19443/19443	---M-Z	200	added ('OK')	text/css	etag:%224bf3-64997761-98562f24aeb70141;gz%22	https://wpriverthemes.com/gridx/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.20.0	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minfc13.css	(from https://wpriverthemes.com/gridx/)
16:20:32	105535/105535	---M-Z	200	added ('OK')	text/css	etag:%2219c3f-64997761-6ace08951a80f4f7;gz%22	https://wpriverthemes.com/gridx/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.14.1	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-content/plugins/elementor/assets/css/frontend-lite.mina1c3.css	(from https://wpriverthemes.com/gridx/)
16:20:32	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-64997761-8239adcce93bc163;gz%22	https://wpriverthemes.com/gridx/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://wpriverthemes.com/gridx/)
16:20:32	1100/1100	---M-Z	200	added ('OK')	text/css	etag:%2244c-64997972-9f8310bfae30d83c;gz%22	https://wpriverthemes.com/gridx/wp-content/uploads/elementor/css/post-16.css?ver=1687779698	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-content/uploads/elementor/css/post-16ad38.css	(from https://wpriverthemes.com/gridx/)
16:20:33	9475/9475	---M-Z	200	added ('OK')	text/css	etag:%222503-64997972-4c24f9978108647e;gz%22	https://wpriverthemes.com/gridx/wp-content/uploads/elementor/css/global.css?ver=1687779698	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/gridx/wp-content/uploads/elementor/css/globalad38.css	(from https://wpriverthemes.com/gridx/)
